Sample_ID,Experiment_name,Date,Start_time,End_time,Climate_logger_ID,Latitude,Longitude,GPS,City,Address,Location_description,Habitat_description,Temperature,Weather,Shade,Wind,Imp_mean,Imp_median,Imp_stdev,Imp_min,Imp_max,Remarks_participants,Remarks_Nelma
23-11181,Schulhof Beispiel,15.06.2023,12:55,14:55,94233367,52.405125,13.508245,"52.405125, 13.508245",Berlin,"Elfriede-Kuhr-Straße 17, 12355 Berlin",Hannah-Arendt-Gymnasium,,23.5,very cloudy,no shade,weak wind,55.25,59,32.57886,0,100,"""da wir den Versuch erst nach der Verteilung der Fallen durchgeführt haben, gibt es hier nur dieser Logger""
from 13:54 light drizzle for 5-10 minutes, from 14:30 sunny",one logger for 5 experiments
23-11182,Ameisen Experiment,15.06.2023,12:57,14:57,94233367,52.404674,13.508113,"52.404674, 13.508113",Berlin,"Elfriede-Kuhr-Straße 17, 12355 Berlin",Hannah-Arendt-Gymnasium,,23.5,very cloudy,no shade,weak wind,64.92628,76,34.98815,0,100,"light rain for 5-10 minutes from 13:00, 15m distance to climate logger","coordinates by me (schulhof), one logger for 5 experiments"
23-11183,Ameisen on tour,15.06.2023,13:05,14:43,94233367,52.404111,13.508649,"52.404111, 13.508649",Berlin,"Elfriede-Kuhr-Straße 17, 12355 Berlin",Hannah-Arendt-Gymnasium,,23.5,very cloudy,full shade,weak wind,73.80892,89.5,32.27433,0,100,"exp. ended after 98 minutes, ca. 6m away from climate logger, 13:55 light rain for 5-10 min","coordinates by me (address), one logger for 5 experiments"
23-11184,Die kleinen Wissenschaftler,15.06.2023,13:01,14:40,94233367,52.404111,13.508649,"52.404111, 13.508649",Berlin,"Elfriede-Kuhr-Straße 17, 12355 Berlin",Hannah-Arendt-Gymnasium,,23.5,very cloudy,half-shade,,73.80892,89.5,32.27433,0,100,"Exp. ended after 99 minutes, 3m away from climate logger, light rain at 13:00 for 5-10 minutes","coordinates by me (address), one logger for 5 experiments"
23-11185,RTG,15.06.2023,13:04,14:40,94233367,52.404111,13.508649,"52.404111, 13.508649",Berlin,"Elfriede-Kuhr-Straße 17, 12355 Berlin",Hannah-Arendt-Gymnasium,,22,very cloudy,no shade,weak wind,73.80892,89.5,32.27433,0,100,"Exp. ended after 96 minutes, cotton ball was more strongly squeezed","coordinates by me (address), one logger for 5 experiments"
23-22001,JaJeNiMe,06.06.2023,11:13,13:13,94253278,51.501167,11.958278,"51.501167, 11.958278",Halle,"Friedenstraße 33, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Müntzer”,,18,rain,half-shade,no wind,35.99032,19.5,38.44573,0,100,light rain,"2 options picked for weather, kept strongest one (rain over v. cloudy)"
23-22002,Ant catching,06.06.2023,11:17,13:17,94253288,51.501244,11.958567,"51.501244, 11.958567",Halle,"Friedenstraße 33, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Müntzer”,,18,lightly cloudy,half-shade,weak wind,38.31392,24,38.7641,0,100,disturbance = Aaron,"Changed date from 06.05.23 to 06.06.23 because all other experiments from this school were done on 06.06 and the climate logger was used on 06.06 but not 06.05; no sample ID on sample bag, TMS number matches but team name does not (ant catching on sheet, die Blasrohrameisen on bag), School written as GTM Halle, from google search it looks like Giebichenstein Gymnasium ""Thomas Müntzer"""
23-22003,Die laufenden Blätter,06.06.2023,11:20,13:20,94253263,51.501241,11.958575,"51.501241, 11.958575",Halle,"Friedenstraße 33, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Müntzer”,,18,rain,full shade,weak wind,38.38782,25,38.64044,0,100,rain and cloudy,"2 options picked for weather, kept strongest one (rain over v. cloudy)"
23-22004,"Die Knochenkotzer ~""Urbon""",06.06.2023,11:14,13:14,94253297,51.501249,11.958574,"51.501249, 11.958574",Halle,"Friedenstraße 33, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Müntzer”,,17,very cloudy,half-shade,no wind,38.03846,24.5,38.55863,0,100,,"no sample linked to this data sheet, School written as GTM Halle, from google search it looks like Giebichenstein Gymnasium ""Thomas Müntzer"""
23-22007,Ameisis,06.06.2023,11:10,12:40,94226784,51.501280,11.959320,"51.501280, 11.959320",Halle,"Friedenstraße 33, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Müntzer”,,18,rain,full shade,weak wind,37.54785,22,39.05573,0,100,between very cloudy and rain,
